polygon,COUNT,globecover,year,server_type
amazonia_biome,1098707,14,2001,esri
amazonia_biome,1493071,14,2002,esri
amazonia_biome,1265870,14,2003,esri
amazonia_biome,867213,14,2004,esri
amazonia_biome,1094322,14,2005,esri
amazonia_biome,408833,14,2006,esri
amazonia_biome,376332,14,2007,esri
amazonia_biome,327875,14,2008,esri
amazonia_biome,149193,14,2009,esri
amazonia_biome,448527,14,2010,esri
amazonia_biome,227421,14,2011,esri
amazonia_biome,223098,14,2012,esri
amazonia_biome,195464,14,2013,esri
amazonia_biome,234878,14,2014,esri
amazonia_biome,5146600,20,2001,esri
amazonia_biome,7386581,20,2002,esri
amazonia_biome,5773899,20,2003,esri
amazonia_biome,6868310,20,2004,esri
amazonia_biome,5400813,20,2005,esri
amazonia_biome,3648099,20,2006,esri
amazonia_biome,2316815,20,2007,esri
amazonia_biome,2168757,20,2008,esri
amazonia_biome,1099755,20,2009,esri
amazonia_biome,1581062,20,2010,esri
amazonia_biome,1172256,20,2011,esri
amazonia_biome,1166103,20,2012,esri
amazonia_biome,796454,20,2013,esri
amazonia_biome,986044,20,2014,esri
amazonia_biome,1503804,30,2001,esri
amazonia_biome,2208513,30,2002,esri
amazonia_biome,1782941,30,2003,esri
amazonia_biome,2060814,30,2004,esri
amazonia_biome,1722989,30,2005,esri
amazonia_biome,1131399,30,2006,esri
amazonia_biome,906742,30,2007,esri
amazonia_biome,694855,30,2008,esri
amazonia_biome,402057,30,2009,esri
amazonia_biome,560716,30,2010,esri
amazonia_biome,391450,30,2011,esri
amazonia_biome,436138,30,2012,esri
amazonia_biome,296089,30,2013,esri
amazonia_biome,352879,30,2014,esri
amazonia_biome,12668253,40,2001,esri
amazonia_biome,16837513,40,2002,esri
amazonia_biome,15087135,40,2003,esri
amazonia_biome,20315125,40,2004,esri
amazonia_biome,21611269,40,2005,esri
amazonia_biome,17541158,40,2006,esri
amazonia_biome,14433231,40,2007,esri
amazonia_biome,13819735,40,2008,esri
amazonia_biome,10059035,40,2009,esri
amazonia_biome,16444287,40,2010,esri
amazonia_biome,11266731,40,2011,esri
amazonia_biome,16008582,40,2012,esri
amazonia_biome,10648057,40,2013,esri
amazonia_biome,13405638,40,2014,esri
amazonia_biome,154451,50,2001,esri
amazonia_biome,232525,50,2002,esri
amazonia_biome,214670,50,2003,esri
amazonia_biome,194732,50,2004,esri
amazonia_biome,159915,50,2005,esri
amazonia_biome,152027,50,2006,esri
amazonia_biome,218185,50,2007,esri
amazonia_biome,107578,50,2008,esri
amazonia_biome,57449,50,2009,esri
amazonia_biome,115557,50,2010,esri
amazonia_biome,120977,50,2011,esri
amazonia_biome,123865,50,2012,esri
amazonia_biome,115231,50,2013,esri
amazonia_biome,154243,50,2014,esri
amazonia_biome,2710,60,2001,esri
amazonia_biome,2823,60,2002,esri
amazonia_biome,2212,60,2003,esri
amazonia_biome,1619,60,2004,esri
amazonia_biome,4005,60,2005,esri
amazonia_biome,3734,60,2006,esri
amazonia_biome,4106,60,2007,esri
amazonia_biome,2741,60,2008,esri
amazonia_biome,1500,60,2009,esri
amazonia_biome,5186,60,2010,esri
amazonia_biome,2724,60,2011,esri
amazonia_biome,5531,60,2012,esri
amazonia_biome,4820,60,2013,esri
amazonia_biome,8992,60,2014,esri
amazonia_biome,146191,110,2001,esri
amazonia_biome,272298,110,2002,esri
amazonia_biome,298621,110,2003,esri
amazonia_biome,341385,110,2004,esri
amazonia_biome,253616,110,2005,esri
amazonia_biome,110930,110,2006,esri
amazonia_biome,79567,110,2007,esri
amazonia_biome,93245,110,2008,esri
amazonia_biome,61598,110,2009,esri
amazonia_biome,34330,110,2010,esri
amazonia_biome,38412,110,2011,esri
amazonia_biome,41400,110,2012,esri
amazonia_biome,13704,110,2013,esri
amazonia_biome,16927,110,2014,esri
amazonia_biome,1589,120,2001,esri
amazonia_biome,3094,120,2002,esri
amazonia_biome,4683,120,2003,esri
amazonia_biome,8039,120,2004,esri
amazonia_biome,5882,120,2005,esri
amazonia_biome,497,120,2006,esri
amazonia_biome,828,120,2007,esri
amazonia_biome,1705,120,2008,esri
amazonia_biome,277,120,2009,esri
amazonia_biome,367,120,2010,esri
amazonia_biome,1688,120,2011,esri
amazonia_biome,667,120,2012,esri
amazonia_biome,968,120,2013,esri
amazonia_biome,263,120,2014,esri
amazonia_biome,767918,130,2001,esri
amazonia_biome,1362119,130,2002,esri
amazonia_biome,1643977,130,2003,esri
amazonia_biome,1908912,130,2004,esri
amazonia_biome,1202514,130,2005,esri
amazonia_biome,779530,130,2006,esri
amazonia_biome,784676,130,2007,esri
amazonia_biome,743148,130,2008,esri
amazonia_biome,479930,130,2009,esri
amazonia_biome,358412,130,2010,esri
amazonia_biome,248922,130,2011,esri
amazonia_biome,322519,130,2012,esri
amazonia_biome,227869,130,2013,esri
amazonia_biome,297328,130,2014,esri
amazonia_biome,31551,140,2001,esri
amazonia_biome,36401,140,2002,esri
amazonia_biome,48267,140,2003,esri
amazonia_biome,66632,140,2004,esri
amazonia_biome,88421,140,2005,esri
amazonia_biome,41826,140,2006,esri
amazonia_biome,45787,140,2007,esri
amazonia_biome,45813,140,2008,esri
amazonia_biome,34561,140,2009,esri
amazonia_biome,17571,140,2010,esri
amazonia_biome,17179,140,2011,esri
amazonia_biome,23836,140,2012,esri
amazonia_biome,9560,140,2013,esri
amazonia_biome,11160,140,2014,esri
amazonia_biome,29,150,2001,esri
amazonia_biome,361,150,2002,esri
amazonia_biome,94,150,2003,esri
amazonia_biome,2565,150,2004,esri
amazonia_biome,160,150,2005,esri
amazonia_biome,165,150,2006,esri
amazonia_biome,226,150,2007,esri
amazonia_biome,20,150,2008,esri
amazonia_biome,38,150,2009,esri
amazonia_biome,61,150,2010,esri
amazonia_biome,46,150,2011,esri
amazonia_biome,103,150,2012,esri
amazonia_biome,55,150,2013,esri
amazonia_biome,222,150,2014,esri
amazonia_biome,331349,160,2001,esri
amazonia_biome,491625,160,2002,esri
amazonia_biome,365807,160,2003,esri
amazonia_biome,404054,160,2004,esri
amazonia_biome,538316,160,2005,esri
amazonia_biome,401516,160,2006,esri
amazonia_biome,327090,160,2007,esri
amazonia_biome,347621,160,2008,esri
amazonia_biome,342091,160,2009,esri
amazonia_biome,431733,160,2010,esri
amazonia_biome,313014,160,2011,esri
amazonia_biome,370060,160,2012,esri
amazonia_biome,350537,160,2013,esri
amazonia_biome,310821,160,2014,esri
amazonia_biome,1815,170,2001,esri
amazonia_biome,5686,170,2002,esri
amazonia_biome,2568,170,2003,esri
amazonia_biome,6102,170,2004,esri
amazonia_biome,2180,170,2005,esri
amazonia_biome,4902,170,2006,esri
amazonia_biome,5027,170,2007,esri
amazonia_biome,4748,170,2008,esri
amazonia_biome,6554,170,2009,esri
amazonia_biome,7394,170,2010,esri
amazonia_biome,6906,170,2011,esri
amazonia_biome,9328,170,2012,esri
